sample_id,pose_detected,movement_score,lstm_behavior,behavior_confidence,Inactive_probability,Low_Movement_probability,Normal_Movement_probability,Restless_Movement_probability,Sudden_Movement_probability
2673,1,0.032375134,Inactive,0.931187987,0.931187987,0.057744,0.010878,0.000106,8.40E-05
2674,1,0.022490414,Inactive,0.929637015,0.929637015,0.059401002,0.010766,0.000109,8.70E-05
2675,1,0.040182793,Inactive,0.926891983,0.926891983,0.061988,0.010914,0.000115,9.10E-05
2676,1,0.01094723,Inactive,0.926365972,0.926365972,0.062564999,0.010859,0.000118,9.20E-05
2677,1,0.012714972,Inactive,0.912760973,0.912760973,0.07604,0.010963,0.000131,0.000105
2678,1,0.08812644,Inactive,0.783026993,0.783026993,0.201502994,0.015074,0.000226,0.00017
2679,1,0.008341917,Inactive,0.788856983,0.788856983,0.195975006,0.014797,0.000211,0.00016
2680,1,0.01755378,Inactive,0.822595,0.822595,0.163790002,0.013275,0.000193,0.000147
2681,1,0.013377233,Inactive,0.926867008,0.926867008,0.062932,0.010006,0.000108,8.70E-05
2682,1,0.013967634,Inactive,0.933789015,0.933789015,0.056299999,0.009727,0.000103,8.20E-05
2683,1,0.022054479,Inactive,0.937444985,0.937444985,0.052804001,0.009573,9.90E-05,7.90E-05
2684,1,0.013559511,Inactive,0.93898797,0.93898797,0.051355999,0.009479,9.90E-05,7.80E-05
2685,1,0.027716009,Inactive,0.937623978,0.937623978,0.052621,0.009572,0.000102,8.10E-05
2686,1,0.011686306,Inactive,0.941103995,0.941103995,0.049210001,0.009509,1.00E-04,7.80E-05
2687,1,0.029938374,Inactive,0.935270011,0.935270011,0.054882001,0.009653,0.000108,8.60E-05
2688,1,0.012842351,Inactive,0.881075978,0.881075978,0.107589997,0.011034,0.000166,0.000134
2689,1,0.028904239,Inactive,0.933561027,0.933561027,0.056577001,0.009665,0.000109,8.70E-05
2690,1,0.029587744,Inactive,0.938345015,0.938345015,0.051805999,0.009661,0.000105,8.30E-05
2691,1,0.032605406,Inactive,0.937994003,0.937994003,0.051929001,0.009881,0.000109,8.70E-05
2692,1,0.051924133,Inactive,0.928287029,0.928287029,0.060745999,0.010733,0.00013,0.000105
2693,1,0.060229772,Inactive,0.922258973,0.922258973,0.065848999,0.01163,0.000143,0.000119
2694,1,0.051764131,Inactive,0.912763,0.912763,0.074410997,0.012529,0.000161,0.000136
2695,1,0.06916323,Inactive,0.894644022,0.894644022,0.090983003,0.014027,0.000183,0.000164
2696,1,0.029283986,Inactive,0.853586972,0.853586972,0.129203007,0.016748,0.000244,0.000218
2697,1,0.03976849,Inactive,0.757438004,0.757438004,0.218949005,0.022719,0.000495,0.0004
2698,1,0.093415132,Inactive,0.706762016,0.706762016,0.265110999,0.026861001,0.000708,0.000557
2699,1,0.122967345,Inactive,0.751249015,0.751249015,0.221019,0.026769999,0.00052,0.000442
2700,1,0.027496128,Inactive,0.705915987,0.705915987,0.261000007,0.031824999,0.000679,0.00058
2701,1,0.037168119,Inactive,0.661418021,0.661418021,0.301021993,0.035978001,0.000852,0.00073
2702,1,0.042292661,Inactive,0.648168981,0.648168981,0.31419301,0.036040999,0.000863,0.000734
2703,1,0.049249797,Inactive,0.609058022,0.609058022,0.350088,0.039074,0.000967,0.000812
2704,1,0.077641886,Inactive,0.515762985,0.515762985,0.431459993,0.050517,0.001251,0.001008
2705,1,0.144890581,Low_Movement,0.515703022,0.413210005,0.515703022,0.067693003,0.001891,0.001503
2706,1,0.073005337,Low_Movement,0.587719023,0.315600008,0.587719023,0.090937003,0.003188,0.002556
2707,1,0.058879749,Low_Movement,0.649586022,0.229874998,0.649586022,0.111322001,0.005,0.004217
2708,1,0.067144633,Low_Movement,0.693159997,0.205245003,0.693159997,0.092007004,0.005342,0.004247
2709,1,0.06377332,Low_Movement,0.719169021,0.177965999,0.719169021,0.091741003,0.006389,0.004735
2710,1,0.067015382,Low_Movement,0.726203978,0.169165,0.726203978,0.092211001,0.00732,0.0051
2711,1,0.026489247,Low_Movement,0.729771018,0.165121004,0.729771018,0.092289001,0.007789,0.005029
2712,1,0.040218211,Low_Movement,0.737092972,0.165812001,0.737092972,0.085152999,0.00737,0.004572
2713,1,0.079481624,Low_Movement,0.753000975,0.164931998,0.753000975,0.072149001,0.00624,0.003678
2714,1,0.018191511,Low_Movement,0.766722977,0.150436997,0.766722977,0.075488999,0.004506,0.002845
2715,1,0.044640128,Low_Movement,0.770223975,0.128291994,0.770223975,0.095273003,0.003507,0.002703
2716,1,0.055519442,Low_Movement,0.749710023,0.107923001,0.749710023,0.136625007,0.00288,0.002863
2717,1,0.054873631,Low_Movement,0.730167985,0.083911002,0.730167985,0.180721,0.00243,0.002771
2718,1,0.023971371,Low_Movement,0.67997998,0.053376999,0.67997998,0.262017012,0.001995,0.002632
2719,1,0.029925157,Low_Movement,0.653550029,0.044493001,0.653550029,0.297302008,0.001949,0.002706
2720,1,0.111171908,Low_Movement,0.608057976,0.037434999,0.608057976,0.348729998,0.002389,0.003388
2721,1,0.109008074,Low_Movement,0.556007981,0.033316001,0.556007981,0.403245986,0.002929,0.004502
2722,1,0.039874654,Low_Movement,0.564212978,0.034203999,0.564212978,0.393750012,0.003111,0.004721
2723,1,0.046310517,Low_Movement,0.58683902,0.036665998,0.58683902,0.368353009,0.003382,0.004761
2724,1,0.177374223,Low_Movement,0.608251989,0.040454999,0.608251989,0.342433006,0.003849,0.005012
2725,1,0.099394696,Low_Movement,0.616894007,0.043441001,0.616894007,0.332026988,0.003317,0.004321
2726,1,0.093501939,Low_Movement,0.593329012,0.045143001,0.593329012,0.354209989,0.003084,0.004234
2727,1,0.092767224,Low_Movement,0.573692977,0.049206998,0.573692977,0.370173991,0.002826,0.0041
2728,1,0.113301746,Low_Movement,0.572345018,0.050788999,0.572345018,0.371197999,0.002291,0.003376
2729,1,0.160442758,Low_Movement,0.635128021,0.069072001,0.635128021,0.290082991,0.002484,0.003233
2730,1,0.115057802,Low_Movement,0.507147014,0.039618,0.507147014,0.448403001,0.001966,0.002866
2731,1,0.1815972,Normal_Movement,0.601247013,0.020698,0.374480009,0.601247013,0.001441,0.002134
2732,1,0.237128374,Normal_Movement,0.746941984,0.009504,0.241061002,0.746941984,0.001052,0.00144
2733,1,0.116015599,Normal_Movement,0.84681201,0.005889,0.145069003,0.84681201,0.00099,0.001239
2734,1,0.042056183,Normal_Movement,0.885730028,0.004525,0.107423,0.885730028,0.001024,0.001298
2735,1,0.029499105,Normal_Movement,0.865876019,0.005607,0.126288995,0.865876019,0.00094,0.001288
2736,1,0.057908409,Normal_Movement,0.874819994,0.005592,0.117426001,0.874819994,0.000895,0.001268
2737,1,0.099943955,Normal_Movement,0.900803983,0.004902,0.092456996,0.900803983,0.000776,0.00106
2738,1,0.024879808,Normal_Movement,0.902635992,0.005278,0.090225004,0.902635992,0.000792,0.00107
2739,1,0.102708396,Normal_Movement,0.912184,0.004705,0.081254996,0.912184,0.000788,0.001068
2740,1,0.125530633,Normal_Movement,0.908451021,0.004994,0.084514,0.908451021,0.000896,0.001145
2741,1,0.085501021,Normal_Movement,0.931428015,0.003492,0.063268997,0.931428015,0.000796,0.001015
2742,1,0.085500615,Normal_Movement,0.929930985,0.003603,0.064309999,0.929930985,0.00094,0.001216
2743,1,0.037693115,Normal_Movement,0.911324024,0.00491,0.080899,0.911324024,0.001221,0.001646
2744,1,0.07815061,Normal_Movement,0.921691,0.004495,0.070928,0.921691,0.001247,0.001639
2745,1,0.012214631,Normal_Movement,0.916547,0.005058,0.075159997,0.916547,0.001434,0.0018
2746,1,0.023021473,Normal_Movement,0.889980018,0.006684,0.099005997,0.889980018,0.001975,0.002354
2747,1,0.006921614,Normal_Movement,0.871299982,0.008451,0.115207002,0.871299982,0.002363,0.002678
2748,1,0.026975382,Normal_Movement,0.84701997,0.011461,0.135492995,0.84701997,0.002902,0.003125
2749,1,0.019008931,Normal_Movement,0.810697973,0.016073,0.165013999,0.810697973,0.003974,0.00424
2750,1,0.047511928,Normal_Movement,0.714356005,0.035482001,0.238184005,0.714356005,0.00584,0.006138
2751,1,0.041119639,Normal_Movement,0.577647984,0.090954997,0.311333001,0.577647984,0.009759,0.010305
2752,1,0.005928005,Normal_Movement,0.524740994,0.133012995,0.305873007,0.524740994,0.01767,0.018703001
2753,1,0.014348881,Normal_Movement,0.601584971,0.092014998,0.239071995,0.601584971,0.033431999,0.033895001
2754,1,0.017362181,Normal_Movement,0.334838986,0.327766001,0.303422004,0.334838986,0.018123001,0.01585
2755,1,0.091944666,Inactive,0.494428992,0.494428992,0.250310004,0.231983006,0.012138,0.011141
2756,1,0.028925641,Inactive,0.659502983,0.659502983,0.182739004,0.144568995,0.006549,0.00664
2757,1,0.014168595,Inactive,0.778949022,0.778949022,0.125809997,0.089519002,0.002748,0.002974
2758,1,0.025523151,Inactive,0.836170971,0.836170971,0.095558003,0.065141998,0.001469,0.001659
2759,1,0.013354112,Inactive,0.876073003,0.876073003,0.080429003,0.041976999,0.000754,0.000767
2760,1,0.024984554,Inactive,0.88211,0.88211,0.076435,0.040098,0.00068,0.000677
2761,1,0.004575296,Inactive,0.904334009,0.904334009,0.065026999,0.029784,0.000457,0.000397
2762,1,0.007968347,Inactive,0.938977003,0.938977003,0.045733999,0.014946,0.000184,0.000159
2763,1,0.02181839,Inactive,0.941178977,0.941178977,0.046333,0.012247,0.000129,0.000113
2764,1,0.044778979,Inactive,0.940349996,0.940349996,0.047205001,0.012203,0.000129,0.000113
2765,1,0.027493179,Inactive,0.940204024,0.940204024,0.047504999,0.012051,0.000128,0.000112
2766,1,0.104831464,Inactive,0.937201023,0.937201023,0.050184999,0.012364,0.000134,0.000117
2767,1,0.037299777,Inactive,0.938611984,0.938611984,0.048804,0.012338,0.000132,0.000114
2768,1,0.121635422,Inactive,0.934512019,0.934512019,0.052069001,0.01313,0.000154,0.000134
2769,1,0.034441448,Inactive,0.935396016,0.935396016,0.051619999,0.012709,0.000147,0.000128
2770,1,0.087423538,Inactive,0.933709979,0.933709979,0.053123001,0.01289,0.000149,0.000129
2771,1,0.032682924,Inactive,0.934469998,0.934469998,0.052781999,0.012483,0.000143,0.000122
2772,1,0.013416647,Inactive,0.935805976,0.935805976,0.051677998,0.01226,0.000138,0.000118
2773,1,0.051475444,Inactive,0.934732974,0.934732974,0.052600998,0.012399,0.000144,0.000123
2774,1,0.060881861,Inactive,0.931850016,0.931850016,0.055542,0.012338,0.000146,0.000124
2775,1,0.028930529,Inactive,0.931842983,0.931842983,0.055791002,0.012103,0.000143,0.000119
2776,1,0.081944071,Inactive,0.930787981,0.930787981,0.056979001,0.011986,0.000137,0.00011
2777,1,0.047241999,Inactive,0.933026016,0.933026016,0.054997001,0.011748,0.000128,0.000101
2778,1,0.010354695,Inactive,0.935280025,0.935280025,0.053121999,0.011395,0.000114,8.90E-05
2779,1,0.014065645,Inactive,0.937030971,0.937030971,0.051592998,0.011191,0.000104,8.10E-05
2780,1,0.032463112,Inactive,0.937143028,0.937143028,0.051355999,0.01133,9.60E-05,7.50E-05
2781,1,0.160966625,Inactive,0.932318985,0.932318985,0.054745998,0.012736,0.00011,8.80E-05
2782,1,0.041595712,Inactive,0.93352598,0.93352598,0.053691,0.012592,0.000107,8.50E-05
2783,1,0.088447266,Inactive,0.933961987,0.933961987,0.053149998,0.012699,0.000106,8.40E-05
2784,1,0.025277719,Inactive,0.936287999,0.936287999,0.050632998,0.012894,0.000102,8.20E-05
2785,1,0.029535244,Inactive,0.936655998,0.936655998,0.050586998,0.01257,0.000105,8.30E-05
2786,1,0.017695736,Inactive,0.937231004,0.937231004,0.049911998,0.012674,0.000102,8.10E-05
2787,1,0.054120666,Inactive,0.936240971,0.936240971,0.050037999,0.013534,0.000103,8.40E-05
2788,1,0.02385093,Inactive,0.936985016,0.936985016,0.049116001,0.013723,9.60E-05,8.00E-05
2789,1,0.017057043,Inactive,0.938795984,0.938795984,0.047171999,0.013866,9.00E-05,7.60E-05
2790,1,0.010617393,Inactive,0.940541983,0.940541983,0.045343,0.013954,8.70E-05,7.40E-05
2791,1,0.019282974,Inactive,0.941694975,0.941694975,0.043577,0.014565,8.60E-05,7.70E-05
2792,1,0.038126049,Inactive,0.942438006,0.942438006,0.040801998,0.016582999,9.00E-05,8.70E-05
2793,1,0.103060391,Inactive,0.940998971,0.940998971,0.040392999,0.018424001,9.20E-05,9.10E-05
2794,1,0.012841979,Inactive,0.941725016,0.941725016,0.037097,0.020988001,9.30E-05,9.70E-05
2795,1,0.047956199,Inactive,0.937366009,0.937366009,0.036878999,0.025532,0.000106,0.000117
2796,1,0.030789945,Inactive,0.942104995,0.942104995,0.037997,0.019714,9.10E-05,9.30E-05
2797,1,0.037322909,Inactive,0.940389991,0.940389991,0.041393001,0.018042,8.90E-05,8.50E-05
2798,1,0.033605362,Inactive,0.941736996,0.941736996,0.038812999,0.019277999,8.70E-05,8.50E-05
2799,1,0.020620343,Inactive,0.92136699,0.92136699,0.041563001,0.036759999,0.000147,0.000163
