Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Training_Time_Seconds
XGBoost,0.9670876387294298,0.9679349650227421,0.9675048243053186,0.9675858585752344,0.9669617573397291,34.55346894264221
LightGBM,0.9632606199770379,0.9642182790621115,0.9642750916946681,0.9641071255969595,0.9631076670631304,33.582374572753906
CatBoost,0.9579027937236892,0.9612520299637975,0.9579070194826039,0.9593453118866092,0.9577290696711852,430.2865688800812
Random Forest,0.9544584768465365,0.9541501256384523,0.959117664401487,0.9565416562325731,0.9545266614131162,122.69552326202393
Gradient Boosting,0.9517795637198623,0.9545855140953512,0.954825209106791,0.9545943885776055,0.9515715432405716,274.32830572128296
Decision Tree,0.931113662456946,0.935472030866695,0.9334299088078741,0.9343530086213638,0.9308306091954553,0.9922473430633545
SVM,0.8936088786835056,0.8954842687386657,0.9034535902608684,0.8991380144918117,0.8938211613041924,34.30190134048462
KNN,0.8809797168006124,0.8804478249727721,0.8828128507208368,0.8815974924724305,0.8809802531869949,3.713589906692505
Logistic Regression,0.8392652123995408,0.8391478832647449,0.8642766303720322,0.8495492853019855,0.8383430562025131,2.5622642040252686
