accuracy,loss,val_accuracy,val_loss,learning_rate
0.6058394312858582,1.1459585428237915,0.7020833492279053,0.8852423429489136,0.0010000000474974513
0.7106360793113708,0.7849733233451843,0.7562500238418579,0.7059242129325867,0.0010000000474974513
0.761730968952179,0.6693673133850098,0.7645833492279053,0.6104671359062195,0.0010000000474974513
0.7758081555366516,0.6153350472450256,0.8041666746139526,0.5509223937988281,0.0010000000474974513
0.7930135726928711,0.5573651790618896,0.8041666746139526,0.559865415096283,0.0010000000474974513
0.7950990796089172,0.543840765953064,0.793749988079071,0.5409864783287048,0.0010000000474974513
0.8076121211051941,0.5061729550361633,0.8062499761581421,0.5196577906608582,0.0010000000474974513
0.8269030451774597,0.4521482586860657,0.8187500238418579,0.4864819645881653,0.0010000000474974513
0.8378519415855408,0.433639258146286,0.8354166746139526,0.4991459250450134,0.0010000000474974513
0.8404588103294373,0.43485140800476074,0.8229166865348816,0.49136242270469666,0.0010000000474974513
0.8561000823974609,0.40069034695625305,0.8083333373069763,0.47608786821365356,0.0010000000474974513
0.8581855893135071,0.3708866834640503,0.8416666388511658,0.4411237835884094,0.0010000000474974513
0.8613138794898987,0.3842177093029022,0.8291666507720947,0.4635496735572815,0.0010000000474974513
0.8727841377258301,0.3375145196914673,0.8291666507720947,0.48346129059791565,0.0010000000474974513
0.8868613243103027,0.31303682923316956,0.8541666865348816,0.4898202121257782,0.0010000000474974513
0.8879040479660034,0.32103726267814636,0.8354166746139526,0.5495887994766235,0.0010000000474974513
0.9061522483825684,0.2598026692867279,0.8479166626930237,0.513420820236206,0.0005000000237487257
0.9181439280509949,0.22377687692642212,0.8479166626930237,0.5026989579200745,0.0005000000237487257
0.9238790273666382,0.19978857040405273,0.8500000238418579,0.5237113833427429,0.0005000000237487257
0.9301355481147766,0.19300320744514465,0.8687499761581421,0.5257138609886169,0.0005000000237487257
