sample_id,audio_class,confidence,sound_level,decision_method,baby_cry_probability,noise_probability,normal_probability
948,Baby_Cry,0.998559,0.010923,AST Model,0.998559,0.001293,0.000149
949,Baby_Cry,0.933784,0.013645,AST Model,0.933784,0.065223,0.000993
950,Normal,1,0.00852,RMS Threshold,0,0,1
951,Normal,1,0.008462,RMS Threshold,0,0,1
952,Normal,1,0.001868,RMS Threshold,0,0,1
953,Normal,1,0.00764,RMS Threshold,0,0,1
954,Noise,0.999717,0.009349,AST Model,0.000212,0.999717,7.10E-05
955,Normal,1,0.003152,RMS Threshold,0,0,1
956,Normal,1,0.007432,RMS Threshold,0,0,1
957,Normal,1,0.007803,RMS Threshold,0,0,1
958,Normal,1,0.00195,RMS Threshold,0,0,1
959,Noise,0.876233,0.009421,AST Model,0.122963,0.876233,0.000804
960,Normal,1,0.005473,RMS Threshold,0,0,1
961,Noise,0.998008,0.01383,AST Model,0.001856,0.998008,0.000136
962,Normal,1,0.003372,RMS Threshold,0,0,1
963,Normal,1,0.002203,RMS Threshold,0,0,1
964,Noise,0.996827,0.012499,AST Model,0.003041,0.996827,0.000133
965,Baby_Cry,0.817252,0.009254,AST Model,0.817252,0.182263,0.000484
966,Normal,1,0.008227,RMS Threshold,0,0,1
967,Normal,1,0.007609,RMS Threshold,0,0,1
968,Normal,1,0.001595,RMS Threshold,0,0,1
969,Baby_Cry,0.944026,0.015856,AST Model,0.944026,0.054564,0.00141
970,Baby_Cry,0.54302,0.010523,AST Model,0.54302,0.456303,0.000676
971,Normal,1,0.005204,RMS Threshold,0,0,1
972,Normal,1,0.006926,RMS Threshold,0,0,1
973,Noise,0.739561,0.010307,AST Model,0.259587,0.739561,0.000852
974,Normal,1,0.007822,RMS Threshold,0,0,1
975,Normal,1,0.007371,RMS Threshold,0,0,1
976,Normal,1,0.004172,RMS Threshold,0,0,1
977,Normal,1,0.002293,RMS Threshold,0,0,1
978,Normal,1,0.005421,RMS Threshold,0,0,1
979,Normal,1,0.005739,RMS Threshold,0,0,1
980,Normal,1,0.002343,RMS Threshold,0,0,1
981,Normal,1,0.005486,RMS Threshold,0,0,1
982,Normal,1,0.008712,RMS Threshold,0,0,1
983,Normal,1,0.008527,RMS Threshold,0,0,1
984,Normal,1,0.003266,RMS Threshold,0,0,1
985,Normal,1,0.003484,RMS Threshold,0,0,1
986,Normal,1,0.006696,RMS Threshold,0,0,1
987,Normal,1,0.003793,RMS Threshold,0,0,1
988,Normal,1,0.004878,RMS Threshold,0,0,1
989,Baby_Cry,0.657143,0.011815,AST Model,0.657143,0.341339,0.001519
990,Normal,1,0.003181,RMS Threshold,0,0,1
991,Baby_Cry,0.976438,0.01459,AST Model,0.976438,0.023258,0.000304
992,Normal,1,0.007673,RMS Threshold,0,0,1
993,Normal,1,0.002437,RMS Threshold,0,0,1
994,Normal,1,0.006769,RMS Threshold,0,0,1
995,Baby_Cry,0.975069,0.009027,AST Model,0.975069,0.024256,0.000675
996,Normal,1,0.008948,RMS Threshold,0,0,1
997,Normal,1,0.005627,RMS Threshold,0,0,1
998,Normal,1,0.003841,RMS Threshold,0,0,1
999,Baby_Cry,0.99872,0.021851,AST Model,0.99872,0.001096,0.000184
1000,Normal,1,0.001924,RMS Threshold,0,0,1
1001,Normal,1,0.003048,RMS Threshold,0,0,1
1002,Baby_Cry,0.998004,0.012497,AST Model,0.998004,0.001832,0.000164
1003,Normal,1,0.005279,RMS Threshold,0,0,1
1004,Normal,1,0.004017,RMS Threshold,0,0,1
1005,Normal,1,0.002042,RMS Threshold,0,0,1
1006,Normal,1,0.007053,RMS Threshold,0,0,1
1007,Normal,1,0.003366,RMS Threshold,0,0,1
1008,Normal,1,0.00455,RMS Threshold,0,0,1
1009,Normal,1,0.002623,RMS Threshold,0,0,1
1010,Normal,1,0.008579,RMS Threshold,0,0,1
1011,Normal,1,0.003594,RMS Threshold,0,0,1
1012,Normal,1,0.001942,RMS Threshold,0,0,1
1013,Normal,1,0.003905,RMS Threshold,0,0,1
1014,Normal,1,0.007939,RMS Threshold,0,0,1
1015,Normal,1,0.003218,RMS Threshold,0,0,1
1016,Normal,1,0.002766,RMS Threshold,0,0,1
1017,Normal,1,0.002561,RMS Threshold,0,0,1
1018,Normal,1,0.005637,RMS Threshold,0,0,1
1019,Normal,1,0.002224,RMS Threshold,0,0,1
1020,Normal,1,0.003704,RMS Threshold,0,0,1
1021,Normal,1,0.006524,RMS Threshold,0,0,1
1022,Normal,1,0.00393,RMS Threshold,0,0,1
1023,Normal,1,0.0021,RMS Threshold,0,0,1
1024,Normal,1,0.007934,RMS Threshold,0,0,1
1025,Normal,1,0.004096,RMS Threshold,0,0,1
1026,Normal,1,0.002719,RMS Threshold,0,0,1
1027,Normal,1,0.007043,RMS Threshold,0,0,1
1028,Normal,1,0.007147,RMS Threshold,0,0,1
1029,Normal,1,0.003569,RMS Threshold,0,0,1
1030,Normal,1,0.002042,RMS Threshold,0,0,1
1031,Normal,1,0.004304,RMS Threshold,0,0,1
1032,Normal,1,0.007655,RMS Threshold,0,0,1
1033,Normal,1,0.002474,RMS Threshold,0,0,1
1034,Normal,1,0.002278,RMS Threshold,0,0,1
1035,Normal,1,0.002231,RMS Threshold,0,0,1
1036,Normal,1,0.005296,RMS Threshold,0,0,1
1037,Normal,1,0.002824,RMS Threshold,0,0,1
1038,Normal,1,0.003103,RMS Threshold,0,0,1
1039,Normal,1,0.006214,RMS Threshold,0,0,1
1040,Normal,1,0.004863,RMS Threshold,0,0,1
1041,Normal,1,0.002937,RMS Threshold,0,0,1
1042,Normal,1,0.005057,RMS Threshold,0,0,1
1043,Normal,1,0.002877,RMS Threshold,0,0,1
1044,Normal,1,0.002231,RMS Threshold,0,0,1
1045,Normal,1,0.003172,RMS Threshold,0,0,1
1046,Normal,1,0.007489,RMS Threshold,0,0,1
1047,Normal,1,0.002644,RMS Threshold,0,0,1
1048,Normal,1,0.00228,RMS Threshold,0,0,1
1049,Normal,1,0.00382,RMS Threshold,0,0,1
1050,Noise,0.743991,0.009762,AST Model,0.255584,0.743991,0.000426
1051,Baby_Cry,0.997716,0.016149,AST Model,0.997716,0.00178,0.000504
1052,Baby_Cry,0.994044,0.011357,AST Model,0.994044,0.005742,0.000214
1053,Baby_Cry,0.99864,0.011502,AST Model,0.99864,0.001146,0.000215
1054,Normal,1,0.008034,RMS Threshold,0,0,1
1055,Normal,1,0.00663,RMS Threshold,0,0,1
1056,Normal,1,0.002595,RMS Threshold,0,0,1
1057,Normal,1,0.005932,RMS Threshold,0,0,1
1058,Normal,1,0.00276,RMS Threshold,0,0,1
1059,Normal,1,0.002275,RMS Threshold,0,0,1
1060,Normal,1,0.002958,RMS Threshold,0,0,1
1061,Normal,1,0.007083,RMS Threshold,0,0,1
1062,Normal,1,0.003185,RMS Threshold,0,0,1
1063,Normal,1,0.002195,RMS Threshold,0,0,1
1064,Normal,1,0.005049,RMS Threshold,0,0,1
1065,Normal,1,0.008229,RMS Threshold,0,0,1
1066,Normal,1,0.003139,RMS Threshold,0,0,1
1067,Normal,1,0.004894,RMS Threshold,0,0,1
1068,Normal,1,0.005114,RMS Threshold,0,0,1
1069,Normal,1,0.007731,RMS Threshold,0,0,1
1070,Baby_Cry,0.913756,0.00989,AST Model,0.913756,0.084969,0.001275
1071,Normal,1,0.007703,RMS Threshold,0,0,1
1072,Normal,1,0.004839,RMS Threshold,0,0,1
1073,Normal,1,0.002708,RMS Threshold,0,0,1
1074,Normal,1,0.005343,RMS Threshold,0,0,1
1075,Normal,1,0.002592,RMS Threshold,0,0,1
1076,Noise,0.971658,0.00968,AST Model,0.028029,0.971658,0.000313
1077,Baby_Cry,0.751915,0.009491,AST Model,0.751915,0.24734,0.000745
1078,Normal,1,0.002576,RMS Threshold,0,0,1
1079,Normal,1,0.002214,RMS Threshold,0,0,1
1080,Normal,1,0.00324,RMS Threshold,0,0,1
1081,Noise,0.568959,0.011378,AST Model,0.430293,0.568959,0.000748
1082,Baby_Cry,0.968899,0.01382,AST Model,0.968899,0.029735,0.001365
1083,Baby_Cry,0.999796,0.100175,AST Model,0.999796,0.000158,4.60E-05
1084,Baby_Cry,0.999757,0.112455,AST Model,0.999757,0.000136,0.000107
1085,Normal,1,0.008414,RMS Threshold,0,0,1
1086,Normal,1,0.00763,RMS Threshold,0,0,1
1087,Normal,1,0.006789,RMS Threshold,0,0,1
1088,Normal,1,0.006514,RMS Threshold,0,0,1
1089,Normal,1,0.004845,RMS Threshold,0,0,1
1090,Normal,1,0.004309,RMS Threshold,0,0,1
1091,Noise,0.998645,0.010203,AST Model,0.001222,0.998645,0.000133
1092,Normal,1,0.004484,RMS Threshold,0,0,1
1093,Baby_Cry,0.984085,0.011702,AST Model,0.984085,0.015394,0.000521
1094,Normal,1,0.007956,RMS Threshold,0,0,1
1095,Normal,1,0.008068,RMS Threshold,0,0,1
1096,Normal,1,0.006308,RMS Threshold,0,0,1
1097,Normal,1,0.00559,RMS Threshold,0,0,1
1098,Normal,1,0.006568,RMS Threshold,0,0,1
1099,Normal,1,0.006916,RMS Threshold,0,0,1
1100,Normal,1,0.00855,RMS Threshold,0,0,1
1101,Normal,1,0.008322,RMS Threshold,0,0,1
1102,Normal,1,0.002749,RMS Threshold,0,0,1
1103,Normal,1,0.005436,RMS Threshold,0,0,1
1104,Normal,1,0.007688,RMS Threshold,0,0,1
1105,Normal,1,0.008826,RMS Threshold,0,0,1
1106,Normal,1,0.007391,RMS Threshold,0,0,1
1107,Normal,1,0.002949,RMS Threshold,0,0,1
1108,Normal,1,0.005627,RMS Threshold,0,0,1
1109,Normal,1,0.004232,RMS Threshold,0,0,1
1110,Noise,0.998284,0.00983,AST Model,0.001492,0.998284,0.000224
1111,Normal,1,0.005597,RMS Threshold,0,0,1
1112,Baby_Cry,0.918921,0.01429,AST Model,0.918921,0.080011,0.001068
1113,Normal,1,0.008606,RMS Threshold,0,0,1
1114,Baby_Cry,0.950145,0.009394,AST Model,0.950145,0.049375,0.000479
1115,Normal,1,0.007977,RMS Threshold,0,0,1
1116,Normal,1,0.008037,RMS Threshold,0,0,1
1117,Baby_Cry,0.998319,0.01656,AST Model,0.998319,0.001531,0.00015
1118,Normal,1,0.006761,RMS Threshold,0,0,1
1119,Normal,1,0.005066,RMS Threshold,0,0,1
1120,Noise,0.617846,0.020875,AST Model,0.378778,0.617846,0.003376
1121,Noise,0.993832,0.009336,AST Model,0.005296,0.993832,0.000872
1122,Normal,1,0.007397,RMS Threshold,0,0,1
1123,Normal,1,0.002957,RMS Threshold,0,0,1
1124,Normal,1,0.00545,RMS Threshold,0,0,1
1125,Normal,1,0.004276,RMS Threshold,0,0,1
1126,Noise,0.997633,0.009802,AST Model,0.002095,0.997633,0.000273
1127,Normal,1,0.004532,RMS Threshold,0,0,1
1128,Baby_Cry,0.943965,0.01233,AST Model,0.943965,0.05544,0.000594
1129,Normal,1,0.008466,RMS Threshold,0,0,1
1130,Normal,1,0.008022,RMS Threshold,0,0,1
1131,Normal,1,0.006196,RMS Threshold,0,0,1
1132,Normal,1,0.00585,RMS Threshold,0,0,1
1133,Normal,1,0.006181,RMS Threshold,0,0,1
1134,Normal,1,0.007685,RMS Threshold,0,0,1
1135,Normal,1,0.008203,RMS Threshold,0,0,1
1136,Normal,1,0.008728,RMS Threshold,0,0,1
1137,Normal,1,0.003157,RMS Threshold,0,0,1
1138,Normal,1,0.005548,RMS Threshold,0,0,1
1139,Normal,1,0.007426,RMS Threshold,0,0,1
1140,Noise,0.99984,0.011938,AST Model,3.80E-05,0.99984,0.000122
1141,Normal,1,0.005729,RMS Threshold,0,0,1
1142,Normal,1,0.002946,RMS Threshold,0,0,1
1143,Normal,1,0.006666,RMS Threshold,0,0,1
1144,Normal,1,0.00641,RMS Threshold,0,0,1
1145,Normal,1,0.004109,RMS Threshold,0,0,1
1146,Normal,1,0.004108,RMS Threshold,0,0,1
1147,Baby_Cry,0.987551,0.011515,AST Model,0.987551,0.011839,0.00061
1148,Normal,1,0.007679,RMS Threshold,0,0,1
1149,Normal,1,0.008936,RMS Threshold,0,0,1
1150,Normal,1,0.006391,RMS Threshold,0,0,1
1151,Normal,1,0.005242,RMS Threshold,0,0,1
1152,Normal,1,0.006319,RMS Threshold,0,0,1
1153,Normal,1,0.006433,RMS Threshold,0,0,1
1154,Normal,1,0.008173,RMS Threshold,0,0,1
1155,Normal,1,0.008028,RMS Threshold,0,0,1
1156,Noise,0.99848,0.010285,AST Model,0.00077,0.99848,0.00075
1157,Normal,1,0.008406,RMS Threshold,0,0,1
1158,Noise,0.999051,0.012726,AST Model,0.000583,0.999051,0.000366
1159,Baby_Cry,0.973018,0.017265,AST Model,0.973018,0.026548,0.000434
1160,Normal,1,0.005422,RMS Threshold,0,0,1
1161,Normal,1,0.001757,RMS Threshold,0,0,1
1162,Normal,1,0.006162,RMS Threshold,0,0,1
1163,Normal,1,0.00779,RMS Threshold,0,0,1
1164,Normal,1,0.007397,RMS Threshold,0,0,1
1165,Normal,1,0.008185,RMS Threshold,0,0,1
1166,Normal,1,0.006677,RMS Threshold,0,0,1
1167,Normal,1,0.008793,RMS Threshold,0,0,1
1168,Normal,1,0.008083,RMS Threshold,0,0,1
1169,Normal,1,0.007218,RMS Threshold,0,0,1
1170,Normal,1,0.007096,RMS Threshold,0,0,1
1171,Baby_Cry,0.997748,0.011594,AST Model,0.997748,0.002031,0.000222
1172,Normal,1,0.00604,RMS Threshold,0,0,1
1173,Normal,1,0.005081,RMS Threshold,0,0,1
1174,Noise,0.540335,0.021853,AST Model,0.454659,0.540335,0.005006
1175,Normal,1,0.008252,RMS Threshold,0,0,1
1176,Noise,0.99593,0.011476,AST Model,0.003832,0.99593,0.000238
1177,Normal,1,0.003054,RMS Threshold,0,0,1
1178,Normal,1,0.005746,RMS Threshold,0,0,1
1179,Normal,1,0.004428,RMS Threshold,0,0,1
1180,Normal,1,0.00853,RMS Threshold,0,0,1
1181,Baby_Cry,0.992482,0.025103,AST Model,0.992482,0.00721,0.000307
1182,Baby_Cry,0.990608,0.01255,AST Model,0.990608,0.008997,0.000395
1183,Normal,1,0.008005,RMS Threshold,0,0,1
1184,Normal,1,0.008478,RMS Threshold,0,0,1
1185,Normal,1,0.006253,RMS Threshold,0,0,1
1186,Normal,1,0.005577,RMS Threshold,0,0,1
1187,Normal,1,0.006945,RMS Threshold,0,0,1
1188,Normal,1,0.006477,RMS Threshold,0,0,1
1189,Normal,1,0.008106,RMS Threshold,0,0,1
1190,Normal,1,0.007439,RMS Threshold,0,0,1
1191,Normal,1,0.003747,RMS Threshold,0,0,1
1192,Normal,1,0.004445,RMS Threshold,0,0,1
1193,Normal,1,0.008043,RMS Threshold,0,0,1
1194,Noise,0.999872,0.01194,AST Model,2.10E-05,0.999872,0.000107
1195,Normal,1,0.003776,RMS Threshold,0,0,1
1196,Normal,1,0.003829,RMS Threshold,0,0,1
1197,Normal,1,0.007355,RMS Threshold,0,0,1
1198,Noise,0.999536,0.009522,AST Model,0.000376,0.999536,8.70E-05
1199,Normal,1,0.005441,RMS Threshold,0,0,1
1200,Normal,1,0.008629,RMS Threshold,0,0,1
1201,Normal,1,0.006836,RMS Threshold,0,0,1
1202,Normal,1,0.007804,RMS Threshold,0,0,1
1203,Noise,0.614327,0.010805,AST Model,0.384459,0.614327,0.001213
1204,Normal,1,0.007866,RMS Threshold,0,0,1
1205,Normal,1,0.006501,RMS Threshold,0,0,1
1206,Baby_Cry,0.995945,0.011582,AST Model,0.995945,0.003877,0.000178
1207,Normal,1,0.00357,RMS Threshold,0,0,1
1208,Normal,1,0.003038,RMS Threshold,0,0,1
1209,Noise,0.934576,0.022291,AST Model,0.0636,0.934576,0.001824
1210,Noise,0.99938,0.009652,AST Model,0.000114,0.99938,0.000506
1211,Normal,1,0.005481,RMS Threshold,0,0,1
1212,Normal,1,0.003976,RMS Threshold,0,0,1
1213,Normal,1,0.007322,RMS Threshold,0,0,1
1214,Normal,1,0.004446,RMS Threshold,0,0,1
1215,Normal,1,0.007983,RMS Threshold,0,0,1
1216,Baby_Cry,0.973744,0.024892,AST Model,0.973744,0.025737,0.00052
1217,Baby_Cry,0.919672,0.009947,AST Model,0.919672,0.079632,0.000696
1218,Normal,1,0.006391,RMS Threshold,0,0,1
1219,Noise,0.955796,0.013925,AST Model,0.043383,0.955796,0.000821
1220,Normal,1,0.008401,RMS Threshold,0,0,1
1221,Normal,1,0.006123,RMS Threshold,0,0,1
1222,Baby_Cry,0.995214,0.011535,AST Model,0.995214,0.004631,0.000155
1223,Normal,1,0.006376,RMS Threshold,0,0,1
1224,Normal,1,0.003768,RMS Threshold,0,0,1
1225,Noise,0.992621,0.020201,AST Model,0.00693,0.992621,0.000449
1226,Normal,1,0.000734,RMS Threshold,0,0,1
1227,Noise,0.902943,0.009478,AST Model,0.096018,0.902943,0.001039
1228,Normal,1,0.007113,RMS Threshold,0,0,1
1229,Normal,1,0.007074,RMS Threshold,0,0,1
1230,Normal,1,0.00277,RMS Threshold,0,0,1
1231,Normal,1,0.004211,RMS Threshold,0,0,1
1232,Baby_Cry,0.991772,0.013525,AST Model,0.991772,0.007878,0.00035
1233,Normal,1,0.008058,RMS Threshold,0,0,1
1234,Normal,1,0.003585,RMS Threshold,0,0,1
1235,Normal,1,0.004045,RMS Threshold,0,0,1
1236,Normal,1,0.005392,RMS Threshold,0,0,1
1237,Normal,1,0.003249,RMS Threshold,0,0,1
1238,Normal,1,0.006595,RMS Threshold,0,0,1
1239,Normal,1,0.004508,RMS Threshold,0,0,1
1240,Normal,1,0.005022,RMS Threshold,0,0,1
1241,Normal,1,0.007461,RMS Threshold,0,0,1
1242,Normal,1,0.001064,RMS Threshold,0,0,1
1243,Noise,0.63168,0.021383,AST Model,0.363359,0.63168,0.004961
1244,Normal,1,0.006578,RMS Threshold,0,0,1
1245,Noise,0.999782,0.009934,AST Model,9.50E-05,0.999782,0.000123
1246,Normal,1,0.00204,RMS Threshold,0,0,1
1247,Normal,1,0.004497,RMS Threshold,0,0,1
1248,Normal,1,0.004736,RMS Threshold,0,0,1
1249,Noise,0.998477,0.010141,AST Model,0.001346,0.998477,0.000177
1250,Normal,1,0.004439,RMS Threshold,0,0,1
1251,Noise,0.732834,0.011268,AST Model,0.266208,0.732834,0.000959
1252,Normal,1,0.006793,RMS Threshold,0,0,1
1253,Normal,1,0.007949,RMS Threshold,0,0,1
1254,Normal,1,0.007695,RMS Threshold,0,0,1
1255,Normal,1,0.008175,RMS Threshold,0,0,1
1256,Normal,1,0.006192,RMS Threshold,0,0,1
1257,Baby_Cry,0.983658,0.011175,AST Model,0.983658,0.016073,0.000269
1258,Normal,1,0.003952,RMS Threshold,0,0,1
1259,Normal,1,0.00268,RMS Threshold,0,0,1
1260,Noise,0.840545,0.021787,AST Model,0.15628,0.840545,0.003175
1261,Normal,1,0.008885,RMS Threshold,0,0,1
1262,Noise,0.656283,0.011358,AST Model,0.341647,0.656283,0.00207
1263,Normal,1,0.003947,RMS Threshold,0,0,1
1264,Normal,1,0.006675,RMS Threshold,0,0,1
1265,Normal,1,0.00451,RMS Threshold,0,0,1
1266,Normal,1,0.008187,RMS Threshold,0,0,1
1267,Baby_Cry,0.997297,0.021861,AST Model,0.997297,0.0024,0.000303
1268,Baby_Cry,0.985815,0.011536,AST Model,0.985815,0.013739,0.000446
1269,Normal,1,0.006558,RMS Threshold,0,0,1
1270,Noise,0.982858,0.014114,AST Model,0.016462,0.982858,0.000681
1271,Baby_Cry,0.858567,0.009023,AST Model,0.858567,0.139609,0.001824
1272,Normal,1,0.005548,RMS Threshold,0,0,1
1273,Normal,1,0.002849,RMS Threshold,0,0,1
1274,Normal,1,0.003692,RMS Threshold,0,0,1
1275,Normal,1,0.002818,RMS Threshold,0,0,1
1276,Noise,0.920537,0.02349,AST Model,0.077745,0.920537,0.001717
1277,Noise,0.999315,0.010227,AST Model,0.000147,0.999315,0.000538
1278,Normal,1,0.005184,RMS Threshold,0,0,1
1279,Normal,1,0.003658,RMS Threshold,0,0,1
1280,Normal,1,0.005976,RMS Threshold,0,0,1
1281,Normal,1,0.004207,RMS Threshold,0,0,1
1282,Normal,1,0.008108,RMS Threshold,0,0,1
1283,Baby_Cry,0.997558,0.032371,AST Model,0.997558,0.002219,0.000223
1284,Baby_Cry,0.990883,0.013372,AST Model,0.990883,0.008698,0.000419
1285,Normal,1,0.008238,RMS Threshold,0,0,1
1286,Baby_Cry,0.739453,0.01019,AST Model,0.739453,0.259705,0.000842
1287,Baby_Cry,0.719783,0.009398,AST Model,0.719783,0.277405,0.002812
1288,Normal,1,0.005505,RMS Threshold,0,0,1
1289,Normal,1,0.003365,RMS Threshold,0,0,1
1290,Normal,1,0.005944,RMS Threshold,0,0,1
1291,Normal,1,0.00323,RMS Threshold,0,0,1
1292,Noise,0.813118,0.023382,AST Model,0.183892,0.813118,0.002989
1293,Noise,0.997959,0.009863,AST Model,0.001491,0.997959,0.000549
1294,Normal,1,0.006858,RMS Threshold,0,0,1
1295,Normal,1,0.002583,RMS Threshold,0,0,1
1296,Normal,1,0.005203,RMS Threshold,0,0,1
1297,Normal,1,0.004064,RMS Threshold,0,0,1
1298,Noise,0.997214,0.009368,AST Model,0.002547,0.997214,0.000239
1299,Normal,1,0.004686,RMS Threshold,0,0,1
1300,Baby_Cry,0.990121,0.012922,AST Model,0.990121,0.009423,0.000456
1301,Normal,1,0.008082,RMS Threshold,0,0,1
1302,Normal,1,0.008942,RMS Threshold,0,0,1
1303,Normal,1,0.005845,RMS Threshold,0,0,1
1304,Normal,1,0.005002,RMS Threshold,0,0,1
1305,Normal,1,0.006548,RMS Threshold,0,0,1
1306,Normal,1,0.006335,RMS Threshold,0,0,1
1307,Normal,1,0.006863,RMS Threshold,0,0,1
1308,Normal,1,0.007495,RMS Threshold,0,0,1
1309,Normal,1,0.00277,RMS Threshold,0,0,1
1310,Normal,1,0.005686,RMS Threshold,0,0,1
1311,Normal,1,0.008043,RMS Threshold,0,0,1
1312,Normal,1,0.008851,RMS Threshold,0,0,1
1313,Normal,1,0.00616,RMS Threshold,0,0,1
1314,Normal,1,0.003346,RMS Threshold,0,0,1
1315,Normal,1,0.006031,RMS Threshold,0,0,1
1316,Normal,1,0.00424,RMS Threshold,0,0,1
1317,Normal,1,0.0086,RMS Threshold,0,0,1
1318,Baby_Cry,0.965618,0.01563,AST Model,0.965618,0.033753,0.000629
1319,Baby_Cry,0.904683,0.012689,AST Model,0.904683,0.093943,0.001373
1320,Normal,1,0.008382,RMS Threshold,0,0,1
1321,Normal,1,0.008833,RMS Threshold,0,0,1
1322,Normal,1,0.00613,RMS Threshold,0,0,1
1323,Normal,1,0.005413,RMS Threshold,0,0,1
1324,Normal,1,0.006832,RMS Threshold,0,0,1
1325,Normal,1,0.006568,RMS Threshold,0,0,1
1326,Normal,1,0.008474,RMS Threshold,0,0,1
1327,Normal,1,0.007059,RMS Threshold,0,0,1
1328,Normal,1,0.00408,RMS Threshold,0,0,1
1329,Normal,1,0.005323,RMS Threshold,0,0,1
1330,Normal,1,0.007858,RMS Threshold,0,0,1
1331,Normal,1,0.008444,RMS Threshold,0,0,1
1332,Normal,1,0.005877,RMS Threshold,0,0,1
1333,Normal,1,0.004071,RMS Threshold,0,0,1
1334,Normal,1,0.006873,RMS Threshold,0,0,1
1335,Normal,1,0.005068,RMS Threshold,0,0,1
1336,Normal,1,0.008486,RMS Threshold,0,0,1
1337,Baby_Cry,0.991966,0.020491,AST Model,0.991966,0.007743,0.000291
1338,Baby_Cry,0.988538,0.013531,AST Model,0.988538,0.011084,0.000378
1339,Normal,1,0.008,RMS Threshold,0,0,1
1340,Noise,0.804881,0.010248,AST Model,0.194312,0.804881,0.000807
1341,Normal,1,0.008106,RMS Threshold,0,0,1
1342,Normal,1,0.007266,RMS Threshold,0,0,1
1343,Baby_Cry,0.99798,0.011943,AST Model,0.99798,0.001861,0.000159
1344,Normal,1,0.00632,RMS Threshold,0,0,1
1345,Normal,1,0.002672,RMS Threshold,0,0,1
1346,Noise,0.915395,0.020763,AST Model,0.082703,0.915395,0.001902
1347,Noise,0.998273,0.01007,AST Model,0.001169,0.998273,0.000559
1348,Normal,1,0.007366,RMS Threshold,0,0,1
1349,Normal,1,0.002892,RMS Threshold,0,0,1
1350,Normal,1,0.005146,RMS Threshold,0,0,1
1351,Normal,1,0.004249,RMS Threshold,0,0,1
1352,Noise,0.993949,0.009779,AST Model,0.00564,0.993949,0.000411
1353,Normal,1,0.006391,RMS Threshold,0,0,1
1354,Baby_Cry,0.975824,0.011782,AST Model,0.975824,0.023727,0.000449
1355,Normal,1,0.008253,RMS Threshold,0,0,1
1356,Noise,0.933232,0.011828,AST Model,0.065978,0.933232,0.00079
1357,Noise,0.616237,0.01149,AST Model,0.38104,0.616237,0.002724
1358,Normal,1,0.006048,RMS Threshold,0,0,1
1359,Normal,1,0.002956,RMS Threshold,0,0,1
1360,Normal,1,0.003908,RMS Threshold,0,0,1
1361,Normal,1,0.002601,RMS Threshold,0,0,1
1362,Noise,0.978392,0.023252,AST Model,0.020441,0.978392,0.001167
1363,Noise,0.998494,0.010279,AST Model,0.000803,0.998494,0.000703
1364,Normal,1,0.005356,RMS Threshold,0,0,1
1365,Normal,1,0.004005,RMS Threshold,0,0,1
1366,Normal,1,0.006921,RMS Threshold,0,0,1
1367,Normal,1,0.004521,RMS Threshold,0,0,1
1368,Normal,1,0.007135,RMS Threshold,0,0,1
1369,Baby_Cry,0.982214,0.01432,AST Model,0.982214,0.017267,0.000519
1370,Baby_Cry,0.985904,0.013191,AST Model,0.985904,0.013647,0.000449
1371,Normal,1,0.007615,RMS Threshold,0,0,1
1372,Noise,0.973048,0.011889,AST Model,0.026532,0.973048,0.00042
1373,Normal,1,0.008933,RMS Threshold,0,0,1
1374,Normal,1,0.006893,RMS Threshold,0,0,1
1375,Baby_Cry,0.992228,0.012247,AST Model,0.992228,0.007634,0.000138
1376,Normal,1,0.007515,RMS Threshold,0,0,1
1377,Normal,1,0.004003,RMS Threshold,0,0,1
1378,Noise,0.970241,0.020026,AST Model,0.027955,0.970241,0.001804
1379,Noise,0.999282,0.009323,AST Model,0.000277,0.999282,0.000441
1380,Normal,1,0.004537,RMS Threshold,0,0,1
1381,Normal,1,0.004288,RMS Threshold,0,0,1
1382,Normal,1,0.007079,RMS Threshold,0,0,1
1383,Normal,1,0.004508,RMS Threshold,0,0,1
1384,Normal,1,0.006845,RMS Threshold,0,0,1
1385,Baby_Cry,0.981971,0.014117,AST Model,0.981971,0.017514,0.000515
1386,Baby_Cry,0.990336,0.01302,AST Model,0.990336,0.009255,0.000409
1387,Normal,1,0.008156,RMS Threshold,0,0,1
1388,Noise,0.700339,0.010518,AST Model,0.299021,0.700339,0.000639
1389,Normal,1,0.007632,RMS Threshold,0,0,1
1390,Normal,1,0.00801,RMS Threshold,0,0,1
1391,Baby_Cry,0.98596,0.010081,AST Model,0.98596,0.01363,0.000411
1392,Normal,1,0.006512,RMS Threshold,0,0,1
1393,Normal,1,0.005155,RMS Threshold,0,0,1
1394,Noise,0.8567,0.022551,AST Model,0.13917,0.8567,0.004129
1395,Normal,1,0.007667,RMS Threshold,0,0,1
1396,Noise,0.995634,0.01522,AST Model,0.004183,0.995634,0.000183
1397,Normal,1,0.002583,RMS Threshold,0,0,1
1398,Normal,1,0.004278,RMS Threshold,0,0,1
1399,Normal,1,0.005233,RMS Threshold,0,0,1
1400,Noise,0.999331,0.01031,AST Model,0.000528,0.999331,0.000141
1401,Normal,1,0.004603,RMS Threshold,0,0,1
1402,Baby_Cry,0.822551,0.011923,AST Model,0.822551,0.176482,0.000966
1403,Normal,1,0.006677,RMS Threshold,0,0,1
1404,Normal,1,0.007712,RMS Threshold,0,0,1
