sample_id,detected_class,baby_detected,empty_seat_detected,yolo_confidence,lstm_behavior,behavior_confidence,audio_class,audio_confidence,cry_probability,noise_probability,normal_probability,risk_label,risk_confidence,shap_feature_1,shap_value_1,shap_direction_1,shap_feature_2,shap_value_2,shap_direction_2,shap_feature_3,shap_value_3,shap_direction_3
45,Baby,1,0,0.432756,Sudden Movement,0.95,Noise,0.999605,0.000221,0.999605,0.000174,High Risk,0.236577,Sudden Movement,Baby + Sudden Movement + Noise,YOLO — Baby,0.389578,supports this risk prediction,Behaviour — Sudden Movement,-1.265339,pushes toward another risk class,AST — Noise,0.12083,supports this risk prediction
47,Baby,1,0,0.402983,Sudden Movement,0.95,Noise,0.999605,0.000221,0.999605,0.000174,High Risk,0.13648,Sudden Movement,Baby + Sudden Movement + Noise,YOLO — Baby,-0.044293,pushes toward another risk class,Behaviour — Sudden Movement,-1.521657,pushes toward another risk class,AST — Noise,0.335468,supports this risk prediction
48,Baby,1,0,0.402983,Sudden Movement,0.95,Noise,0.999605,0.000221,0.999605,0.000174,High Risk,0.126075,Sudden Movement,Baby + Sudden Movement + Noise,YOLO — Baby,0.009849,supports this risk prediction,Behaviour — Sudden Movement,-1.537759,pushes toward another risk class,AST — Noise,0.306446,supports this risk prediction
49,None,0,0,0.0,Sudden Movement,0.95,Noise,0.999605,0.000221,0.999605,0.000174,No Baby,0.199696,No Baby Detected,No baby is currently detected.,YOLO — No Detection,0.697344,supports this risk prediction,Behaviour — Sudden Movement,-0.319696,pushes toward another risk class,AST — Noise,0.96028,supports this risk prediction
50,None,0,0,0.0,Sudden Movement,0.95,Noise,0.999605,0.000221,0.999605,0.000174,No Baby,0.096258,No Baby Detected,No baby is currently detected.,YOLO — No Detection,0.017427,supports this risk prediction,Behaviour — Sudden Movement,-0.354594,pushes toward another risk class,AST — Noise,1.004412,supports this risk prediction
51,Baby,1,0,0.403611,Sudden Movement,0.95,Noise,0.999605,0.000221,0.999605,0.000174,High Risk,0.519326,Sudden Movement,Baby + Sudden Movement + Noise,YOLO — Baby,0.293962,supports this risk prediction,Behaviour — Sudden Movement,0.41612,supports this risk prediction,AST — Noise,-0.438439,pushes toward another risk class
52,None,0,0,0.0,Sudden Movement,0.95,Noise,0.99886,0.000531,0.99886,0.000609,No Baby,0.233886,No Baby Detected,No baby is currently detected.,YOLO — No Detection,1.123105,supports this risk prediction,Behaviour — Sudden Movement,-0.444598,pushes toward another risk class,AST — Noise,0.940762,supports this risk prediction
54,None,0,0,0.0,Sudden Movement,0.95,Noise,0.99886,0.000531,0.99886,0.000609,No Baby,0.266986,No Baby Detected,No baby is currently detected.,YOLO — No Detection,2.56631,supports this risk prediction,Behaviour — Sudden Movement,-0.383149,pushes toward another risk class,AST — Noise,0.105134,supports this risk prediction
56,None,0,0,0.0,Sudden Movement,0.95,Noise,0.99886,0.000531,0.99886,0.000609,No Baby,0.999905,No Baby Detected,No baby is currently detected.,YOLO — No Detection,9.00428,supports this risk prediction,Behaviour — Sudden Movement,-0.003477,pushes toward another risk class,AST — Noise,0.212975,supports this risk prediction
58,Baby,1,0,0.419624,Sudden Movement,0.95,Noise,0.99886,0.000531,0.99886,0.000609,High Risk,3e-05,Sudden Movement,Baby + Sudden Movement + Noise,YOLO — Baby,-3.041782,pushes toward another risk class,Behaviour — Sudden Movement,0.543335,supports this risk prediction,AST — Noise,-0.799747,pushes toward another risk class
