,precision,recall,f1-score,support
Inactive,0.8037383177570093,0.7288135593220338,0.7644444444444445,118.0
Low_Movement,0.5675675675675675,0.42,0.4827586206896552,50.0
Normal_Movement,0.8601036269430051,0.9021739130434783,0.8806366047745358,368.0
Restless_Movement,0.39285714285714285,0.5238095238095238,0.4489795918367347,21.0
Sudden_Movement,0.7380952380952381,0.7209302325581395,0.7294117647058823,43.0
accuracy,0.8016666666666666,0.8016666666666666,0.8016666666666666,0.8016666666666666
macro avg,0.6724723786439926,0.659145445746635,0.6612462052902506,600.0
weighted avg,0.799542883044711,0.8016666666666666,0.7986832055781345,600.0
